Nasa,Productnaam,Afdeling,Subafdeling,Actief
106375,ah bio halfv melk 1 lt,Zuivel,Zuivel,Ja
842195,ah bio halfv melk 1.5 lt,Zuivel,Zuivel,Ja
512652,ah bio mag yogh 1 lt,Zuivel,Zuivel,Ja
582138,ah bio yogh gr 10% 1 kg,Zuivel,Zuivel,Ja
30360,ah bio yogh griekse st 2% 1 kg,Zuivel,Zuivel,Ja
575360,ah halfv melk calci 1 lt,Zuivel,Zuivel,Ja
27506,ah halfvolle melk 500 ml,Zuivel,Zuivel,Ja
11945,ah magere melk 0% 1 lt,Zuivel,Zuivel,Ja
815633,camp magere yoghurt 1000 ml,Zuivel,Zuivel,Ja
582127,dzh magere kwark 50 500 gr,Zuivel,Zuivel,Ja
809358,dzh yogh gr 10% 1 kg,Zuivel,Zuivel,Ja
853187,dzh yogh gr 2% 1 kg,Zuivel,Zuivel,Ja
28392,ah bio hv yoghurt 1 lt,Zuivel,Zuivel,Ja
106374,ah bio volle melk 1 lt,Zuivel,Zuivel,Ja
27504,ah halfv van yogh 1 lt,Zuivel,Zuivel,Ja
823326,ah magere kwark 1 kg,Zuivel,Zuivel,Ja
590142,ah volle kwark 500 gr,Zuivel,Zuivel,Ja
27507,ah volle melk 500 ml,Zuivel,Zuivel,Ja
702102,ah vrij van lactose kwark 500 gr,Zuivel,Zuivel,Ja
856024,ah yoghurt griekse stijl 600 gr,Zuivel,Zuivel,Ja
805084,camp grieks st yogh 1 kg,Zuivel,Zuivel,Ja
804258,camp halfvolle melk 2400 ml,Zuivel,Zuivel,Ja
831576,camp halfvolle yoghurt 1 lt,Zuivel,Zuivel,Ja
845354,camp milde kwark vanille 500 gr,Zuivel,Zuivel,Ja
28423,campina milde mag kwark 1 kg,Zuivel,Zuivel,Ja
37889,dairly cottage cheese 20+ 200 gr,Kaas/Vleeswaren,Kaas/Vleeswaren,Ja
570675,dzh halfvolle melk 1 lt,Zuivel,Zuivel,Ja
11956,dzh vanille vla 1 lt,Zuivel,Zuivel,Ja
581894,dzh volle kwark 500 500 gr,Zuivel,Zuivel,Ja
600587,dzh volle melk 1 lt,Zuivel,Zuivel,Ja
11406,dzh yogh gr 2% van 1 kg,Zuivel,Zuivel,Ja
691592,pur natur yoghurt bio 1 kg,Zuivel,Zuivel,Ja
